Number of Rows (Aggregated),CGM_Client,Ad set name,Ad name,Month,Year,Platform,Placement,Device platform,Reach,Impressions,Cost per result,Amount spent (USD),CPC (cost per link click),Link clicks,Clicks (all),CPC (all),"CPM (cost per 1,000 impressions)",CTR (all),Frequency
4,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,6,2021,facebook,search,mobile_app,4,4,,0.04,,,0,,40,0,4
12,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,6,2021,messenger,messenger_stories,mobile_app,22,22,,3.98,0.24,1,1,0.24,2466.67,50,12
21,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,6,2021,instagram,instagram_explore,mobile_app,52,52,,1.43,0.06,1,1,0.06,542.67,33.33,21
21,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,6,2021,facebook,instream_video,desktop,47,49,,2.06,0.21,2,2,0.21,880.9,83.33,21.58
22,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,6,2021,audience_network,an_classic,desktop,172,257,,4.5,,,0,,388.2,0,33.68
23,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,6,2021,facebook,instant_article,mobile_app,210,250,,9.52,2.46,6,12,3.62,859.71,103.63,29.13
24,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,6,2021,audience_network,rewarded_video,desktop,335,689,,14.5,4.46,7,7,4.46,450.69,13.02,45.57
25,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,6,2021,instagram,instagram_stories,mobile_app,202,203,,12.6,3.11,3,3,3.11,1378.11,22.98,25.08
28,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,6,2021,facebook,marketplace,desktop,85,94,,1.4,0.3,1,1,0.3,388.2,16.67,30.43
28,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,6,2021,facebook,facebook_stories,mobile_app,834,841,,56.29,28.07,28,28,28.07,1781.41,72.15,28.18
31,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,6,2021,facebook,feed,mobile_web,1766,2007,,136.05,26.47,14,62,52.35,1806.71,66.17,35.86
33,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,6,2021,facebook,marketplace,mobile_app,345,401,,20.71,6.84,8,8,6.84,1557.8,44.94,36.93
35,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,6,2021,audience_network,rewarded_video,mobile_app,4629,6243,,293.04,51,153,152,51.07,1663.98,51.88,48.24
36,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,6,2021,unknown,unknown,unknown,0,0,,0,,,0,,,,0
37,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,6,2021,audience_network,an_classic,mobile_app,9440,14254,,623.29,46.72,291,291,46.72,1568.61,43.24,56.77
39,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,6,2021,facebook,instream_video,mobile_app,1069,1094,,58.89,30.6,36,36,30.6,2480.98,86.44,39.45
41,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,6,2021,instagram,feed,mobile_app,1885,1914,,113.71,48.49,37,37,48.49,2261.05,43.8,41.59
42,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,6,2021,facebook,video_feeds,mobile_app,5331,5713,,244.62,63.16,130,207,36.25,1966.03,168.54,44.98
44,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,6,2021,facebook,feed,mobile_app,47403,55520,,3586.78,72.54,1552,2252,55.8,3100.65,171.89,49.68
44,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,6,2021,facebook,feed,desktop,10859,12157,,693.74,117.74,182,260,93.1,3364.48,179.11,48.52
1,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,7,2021,facebook,search,mobile_app,1,1,,0,,,0,,0,0,1
12,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,7,2021,messenger,messenger_stories,mobile_app,29,31,,3.33,0.05,1,1,0.05,1815.18,50,13.2
23,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,7,2021,facebook,instream_video,desktop,97,107,,3.07,0.19,1,1,0.19,617.5,9.09,23.25
26,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,7,2021,audience_network,an_classic,desktop,176,244,,4.13,0.57,2,2,0.57,516.61,15.46,35.47
27,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,7,2021,instagram,instagram_explore,mobile_app,88,90,,1.29,,,0,,382.33,0,27.44
30,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,7,2021,audience_network,rewarded_video,desktop,231,400,,8.64,1.54,5,5,1.54,700.98,46.51,51.24
32,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,7,2021,facebook,instant_article,mobile_app,167,190,,7.31,2.59,4,7,2.21,1235.37,69.92,35.68
33,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,7,2021,instagram,instagram_stories,mobile_app,243,251,,17.69,4.37,4,5,5.01,2076.01,40.12,33.63
34,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,7,2021,facebook,feed,mobile_web,1644,1769,,105.43,41.94,23,64,41.26,1939.93,98.58,36.23
35,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,7,2021,facebook,facebook_stories,mobile_app,1127,1131,,57.31,23.1,14,14,23.1,1620.59,44.47,35.22
37,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,7,2021,facebook,marketplace,mobile_app,2175,2517,,121.25,37.37,48,53,35.93,1682.83,45.37,40.39
37,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,7,2021,unknown,unknown,unknown,0,0,,0,,,0,,,,0
37,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,7,2021,facebook,marketplace,desktop,366,415,,2.13,0.29,2,2,0.29,223.2,11.54,38.36
38,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,7,2021,facebook,instream_video,mobile_app,848,889,,49.52,27.2,35,35,27.2,2779.75,239.92,39.84
38,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,7,2021,audience_network,an_classic,mobile_app,8110,12247,,442.44,77.29,171,169,78.03,1243.89,38.55,55.98
40,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,7,2021,facebook,feed,mobile_app,58367,64780,,3361.72,88.77,1397,2156,61.07,2263.72,136.78,43.35
40,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,7,2021,facebook,feed,desktop,9260,10010,,431.47,95.07,107,146,68.71,1973.88,38.05,42.59
40,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,7,2021,instagram,feed,mobile_app,4673,4751,,226.51,90.31,51,57,83.28,1683.43,34.53,40.5
40,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,7,2021,facebook,video_feeds,mobile_app,5365,5703,,216.17,63.48,106,153,53.17,1500.77,99.1,42.38
40,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,7,2021,audience_network,rewarded_video,mobile_app,2924,3880,,168.38,52.17,76,75,52.71,1579.58,78.8,53.63
1,CGM_APTIVA,Abbott Laboratory,CGM Video Ad- Senior,8,2021,facebook,instant_article,mobile_app,8,9,,0.07,,,0,,7.78,0,1.13
1,CGM_APTIVA,Cure Type 1 Diabetes,CGM Video Ad- Senior,8,2021,facebook,video_feeds,mobile_app,1,1,,0.11,,,0,,110,0,1
1,CGM_APTIVA,Abbott Laboratory,CGM Video Ad- Senior,8,2021,instagram,instagram_stories,mobile_app,7,7,,0.14,,,0,,20,0,1
1,CGM_APTIVA,Abbott Laboratory,CGM Video Ad- Senior,8,2021,facebook,facebook_stories,mobile_app,25,25,,1.28,,,0,,51.2,0,1
2,CGM_APTIVA,Abbott Laboratory,CGM Video Ad- Senior,8,2021,facebook,feed,desktop,198,204,,9.57,4.49,2,2,4.49,83.26,1.07,2.03
2,CGM_APTIVA,Abbott Laboratory,CGM Video Ad- Senior,8,2021,audience_network,an_classic,mobile_app,131,172,,3.5,3.25,1,1,3.25,36.46,0.64,2.75
2,CGM_APTIVA,Abbott Laboratory,CGM Video Ad- Senior,8,2021,facebook,instream_video,mobile_app,26,26,,0.97,,,0,,66.39,0,2
2,CGM_APTIVA,Abbott Laboratory,CGM Video Ad- Senior,8,2021,facebook,feed,mobile_web,66,74,,3.47,1.4,2,5,0.56,127.27,7.58,2.14
2,CGM_APTIVA,Abbott Laboratory,CGM Video Ad- Senior,8,2021,instagram,feed,mobile_app,75,77,,3.11,,,0,,80.29,0,2.05
2,CGM_APTIVA,Abbott Laboratory,CGM Video Ad- Senior,8,2021,audience_network,an_classic,desktop,9,12,,0.21,,,0,,55.45,0,2.38
2,CGM_APTIVA,Cure Type 1 Diabetes,CGM Video Ad- Senior,8,2021,facebook,feed,desktop,2,2,,0.18,,,0,,180,0,2
2,CGM_APTIVA,Abbott Laboratory,CGM Video Ad- Senior,8,2021,facebook,video_feeds,mobile_app,149,153,,3.81,1.53,2,4,1.77,45.04,4.88,2.05
2,CGM_APTIVA,Abbott Laboratory,CGM Video Ad- Senior,8,2021,facebook,marketplace,desktop,22,23,,0.05,,,0,,4.17,0,2.1
2,CGM_APTIVA,Abbott Laboratory,CGM Video Ad- Senior,8,2021,audience_network,rewarded_video,mobile_app,23,28,,0.81,,,0,,40,0,2.53
2,CGM_APTIVA,Abbott Laboratory,CGM Video Ad- Senior,8,2021,audience_network,rewarded_video,desktop,3,3,,0.06,,,0,,35,0,2
2,CGM_APTIVA,Abbott Laboratory,CGM Video Ad- Senior,8,2021,facebook,marketplace,mobile_app,45,45,,1.01,,,0,,51.9,0,2
2,CGM_APTIVA,Abbott Laboratory,CGM Video Ad- Senior,8,2021,facebook,feed,mobile_app,2382,2516,,105.38,3.72,56,93,2.06,85.78,8.71,2.08
3,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,8,2021,facebook,search,mobile_app,0,3,,0.06,,,0,,60,0,0
3,CGM_APTIVA,Cure Type 1 Diabetes,CGM Video Ad- Senior,8,2021,facebook,feed,mobile_app,4,4,,0.29,,,0,,175,0,3
3,CGM_APTIVA,Abbott Laboratory,CGM Video Ad- Senior,8,2021,unknown,unknown,unknown,0,0,,0,,,0,,,,0
5,CGM_APTIVA,Cure Type 1 Diabetes,CGM Video Ad- Senior,8,2021,unknown,unknown,unknown,0,0,,0,,,0,,,,0
6,CGM_APTIVA,Cure Type 1 Diabetes,CGM Video Ad- Senior,8,2021,instagram,instagram_explore,mobile_app,9,9,,0.13,,,0,,75,0,6
14,CGM_APTIVA,Cure Type 1 Diabetes,CGM Video Ad- Senior,8,2021,instagram,instagram_stories,mobile_app,81,82,,4.66,0.02,1,1,0.02,661.98,50,14.03
16,CGM_APTIVA,Cure Type 1 Diabetes,CGM Video Ad- Senior,8,2021,instagram,feed,mobile_app,698,710,,29.29,11.43,5,5,11.43,621.28,15.53,16.3
28,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,8,2021,messenger,messenger_stories,mobile_app,100,105,,12.55,3.58,4,4,3.58,3057.02,132.9,29.17
32,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,8,2021,facebook,instream_video,desktop,132,148,,3.88,,,0,,748.41,0,35.78
35,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,8,2021,instagram,instagram_explore,mobile_app,94,100,,1.64,0.05,1,2,0.03,824.93,200,33.3
35,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,8,2021,audience_network,an_classic,desktop,511,705,,13.37,1.16,2,2,1.16,535.5,101.61,48.36
41,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,8,2021,instagram,instagram_stories,mobile_app,386,424,,23.73,7.58,7,8,7.46,2209.63,65.25,44.66
41,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,8,2021,audience_network,rewarded_video,desktop,343,592,,20.1,3.34,5,5,3.34,1260.06,34.56,77.99
43,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,8,2021,facebook,facebook_stories,mobile_app,1610,1659,,103.7,53.93,24,25,53.51,2237.94,72.1,43.52
45,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,8,2021,audience_network,rewarded_video,mobile_app,2695,3403,,159.18,53.42,55,55,53.42,1820.86,117.53,59.17
46,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,8,2021,facebook,instant_article,mobile_app,746,857,,32,13.05,12,23,12.14,2420.28,146.64,53.25
47,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,8,2021,facebook,marketplace,desktop,734,861,,7.76,1.42,4,4,1.42,478.72,25.58,55.43
48,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,8,2021,instagram,feed,mobile_app,5004,5116,,206.84,103.87,51,57,98.09,1846.24,53.3,48.76
48,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,8,2021,unknown,unknown,unknown,0,0,,0,,,0,,,,0
48,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,8,2021,facebook,feed,mobile_web,4203,4649,,269.18,102.33,35,169,54.11,3053.6,182.15,51.23
48,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,8,2021,audience_network,an_classic,mobile_app,9941,14357,,506.87,99.53,186,185,99.64,1721.08,72.07,67.7
48,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,8,2021,facebook,feed,desktop,18002,19512,,1079.22,180.31,241,362,138.95,2391.05,92.23,50.94
48,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,8,2021,facebook,feed,mobile_app,106469,121570,,7617.25,131,2674,4028,84.83,3100.77,179.8,52.46
48,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,8,2021,facebook,instream_video,mobile_app,1516,1594,,75.39,28.73,46,46,28.73,2605.9,165.61,50.25
48,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,8,2021,facebook,video_feeds,mobile_app,11067,11918,,481.07,79.66,219,353,58.76,1799.69,144.19,50.75
48,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,8,2021,facebook,marketplace,mobile_app,4145,4707,,219.81,77.89,78,85,74.35,1969.62,98.56,53.08
2,CGM_APTIVA,Cure Type 1 Diabetes,CGM Video Ad- Senior,9,2021,instagram,instagram_stories,mobile_app,2,2,,0.01,,,0,,10,0,2
2,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,9,2021,facebook,search,mobile_app,2,2,,0.07,,,0,,70,0,2
2,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,9,2021,instagram,instagram_explore,mobile_app,2,2,,0.01,,,0,,10,0,2
3,CGM_APTIVA,Cure Type 1 Diabetes,CGM Video Ad- Senior,9,2021,instagram,feed,mobile_app,3,3,,0.85,,,0,,850,0,3
6,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,9,2021,instagram,instagram_stories,mobile_app,14,14,,0.74,,,0,,368.33,0,6
7,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,9,2021,messenger,messenger_stories,mobile_app,10,10,,0.96,,,0,,574.44,0,7
7,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,9,2021,instagram,feed,mobile_app,73,73,,2.03,0.62,3,3,0.62,180.57,19.91,7
31,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,9,2021,facebook,instream_video,desktop,52,58,,2.17,0.14,3,3,0.14,1045.63,133.33,36
34,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,9,2021,audience_network,an_classic,desktop,145,205,,3.36,,,0,,628.43,0,53.64
37,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,9,2021,audience_network,rewarded_video,desktop,100,124,,5.99,1.5,5,5,1.5,1850.06,194.44,47.78
48,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,9,2021,audience_network,rewarded_video,mobile_app,1174,1476,,104.61,31.98,41,40,32.17,3657.24,224.18,59.26
51,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,9,2021,facebook,facebook_stories,mobile_app,848,882,,66.7,21.33,13,14,20.37,3453.72,56.98,52.59
54,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,9,2021,facebook,feed,mobile_web,1483,1606,,133.27,43.83,15,56,63.56,4533.8,200.64,57.04
55,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,9,2021,facebook,instant_article,mobile_app,908,1065,,44,16.32,17,26,15.23,2282.86,184.39,64.49
57,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,9,2021,facebook,instream_video,mobile_app,672,706,,46.98,27.5,27,27,27.5,3507.85,158.68,59.77
58,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,9,2021,audience_network,an_classic,mobile_app,4283,6179,,345.63,105.02,113,112,105.91,3495.17,96.08,85.57
59,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,9,2021,facebook,marketplace,mobile_app,1096,1269,,76.88,45.35,26,27,43.92,3231.01,141.85,66.95
59,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,9,2021,unknown,unknown,unknown,0,0,,0,,,0,,,,0
59,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,9,2021,facebook,feed,desktop,4301,4622,,352.11,143.94,64,102,115.37,5071.12,133.73,62.57
60,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,9,2021,facebook,marketplace,desktop,509,903,,12.29,1.91,4,4,1.91,700.65,15.65,108.92
60,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,9,2021,facebook,video_feeds,mobile_app,10187,10786,,397.16,77.83,195,302,62.3,2183.64,158.17,63.08
60,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,9,2021,facebook,feed,mobile_app,33003,36745,,2997.98,185.54,941,1351,123.68,5179.52,299.22,65.73
1,CGM_APTIVA,Abbott Laboratories,CGM Video Ad- Senior,10,2021,unknown,unknown,unknown,0,0,,0,,,0,,,,0
1,CGM_APTIVA,Abbott Laboratories,CGM Video Ad- Senior,10,2021,facebook,facebook_stories,mobile_app,2,2,,0.21,,,0,,105,0,1
1,CGM_APTIVA,Abbott Laboratories,CGM Video Ad- Senior,10,2021,audience_network,rewarded_video,mobile_app,1,1,,0.01,,,0,,10,0,1
1,CGM_APTIVA,Abbott Laboratories,CGM Video Ad- Senior,10,2021,facebook,marketplace,mobile_app,1,1,,0,,,0,,0,0,1
1,CGM_APTIVA,Abbott Laboratories,CGM Video Ad- Senior,10,2021,facebook,feed,mobile_web,2,2,,0.26,,,0,,130,0,1
1,CGM_APTIVA,Abbott Laboratories,CGM Video Ad- Senior,10,2021,facebook,instream_video,mobile_app,3,3,,0.87,,,0,,290,0,1
2,CGM_APTIVA,Abbott Laboratories,CGM Video Ad- Senior,10,2021,facebook,feed,desktop,21,22,,1.46,0.53,1,2,0.27,132.73,18.18,2.1
2,CGM_APTIVA,Abbott Laboratories,CGM Video Ad- Senior,10,2021,audience_network,rewarded_video,desktop,2,3,,0.07,,,0,,50,0,3
3,CGM_APTIVA,Abbott Laboratories,CGM Video Ad- Senior,10,2021,facebook,instant_article,mobile_app,3,3,,0.04,,,0,,40,0,3
4,CGM_APTIVA,Abbott Laboratories,CGM Video Ad- Senior,10,2021,facebook,video_feeds,mobile_app,30,31,,0.4,,,0,,91.67,0,4.1
4,CGM_APTIVA,Abbott Laboratories,CGM Video Ad- Senior,10,2021,facebook,feed,mobile_app,82,87,,5.8,2.19,1,1,2.19,223.82,2.04,4.18
4,CGM_APTIVA,Abbott Laboratories,CGM Video Ad- Senior,10,2021,instagram,feed,mobile_app,35,35,,2.91,,,0,,472.95,0,4
4,CGM_APTIVA,Abbott Laboratories,CGM Video Ad- Senior,10,2021,audience_network,an_classic,mobile_app,12,13,,0.83,,,0,,255,0,4.2
5,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,10,2021,facebook,search,mobile_app,6,8,,0.07,,,0,,47.5,0,6
31,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,10,2021,facebook,instream_video,desktop,66,69,,3.05,0.84,3,3,0.84,1241.86,93.33,31.78
32,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,10,2021,audience_network,rewarded_video,desktop,89,118,,6.38,1.54,2,2,1.54,1392.62,31.11,42.47
35,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,10,2021,audience_network,an_classic,desktop,340,538,,15.18,1.61,3,3,1.61,1885.69,7.41,49.57
43,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,10,2021,facebook,marketplace,mobile_app,1796,1991,,122.44,49.28,33,41,50.48,2689.4,95.08,46.3
43,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,10,2021,facebook,facebook_stories,mobile_app,1470,1505,,105.63,40.23,26,27,39.78,3079.01,87.24,44.71
44,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,10,2021,facebook,marketplace,desktop,904,1071,,17.09,2.3,7,7,2.3,633.4,44.41,51.53
44,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,10,2021,facebook,feed,mobile_app,36215,40524,,3240.06,161.03,961,1453,102.97,3789.35,171.95,48.16
44,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,10,2021,audience_network,rewarded_video,mobile_app,2793,3652,,291.45,98.88,79,77,102.28,3855.91,81.83,56.7
44,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,10,2021,facebook,instant_article,mobile_app,989,1180,,41.83,14.57,13,33,14.38,1364.47,93.52,50.49
44,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,10,2021,facebook,feed,desktop,7288,7804,,592.49,184.64,101,146,163.75,3887.96,105.83,46.62
44,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,10,2021,unknown,unknown,unknown,0,0,,0,,,0,,,,0
44,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,10,2021,facebook,feed,mobile_web,1567,1720,,149.21,59.56,17,68,57.43,3841.56,180.3,47.15
44,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,10,2021,audience_network,an_classic,mobile_app,9834,14198,,789.82,180.53,187,185,181.37,2764.19,55.66,62.94
44,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,10,2021,facebook,instream_video,mobile_app,1067,1110,,68.3,30.62,31,33,30.08,2623.4,167.64,45.75
44,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,10,2021,facebook,video_feeds,mobile_app,12476,13080,,420.04,95.87,207,322,58.63,1341.71,103.92,45.78
1,CGM_APTIVA,Abbott Laboratories,CGM Video Ad- Senior,11,2021,instagram,instagram_stories,mobile_app,1,1,,0.14,,,0,,140,0,1
1,CGM_APTIVA,Abbott Laboratories,CGM Video Ad- Senior,11,2021,instagram,instagram_explore,mobile_app,1,1,,0,,,0,,0,0,1
1,CGM_APTIVA,Abbott Laboratories,CGM Video Ad- Senior,11,2021,audience_network,rewarded_video,mobile_app,1,1,,0.03,,,0,,30,0,1
1,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,11,2021,facebook,search,mobile_app,1,1,,0.01,,,0,,10,0,1
2,CGM_APTIVA,Abbott Laboratories,CGM Video Ad- Senior,11,2021,facebook,instream_video,mobile_app,2,2,,0.3,,,0,,300,0,2
5,CGM_APTIVA,Abbott Laboratories,CGM Video Ad- Senior,11,2021,facebook,instant_article,mobile_app,12,15,,0.27,,,0,,111.33,0,6.5
5,CGM_APTIVA,Abbott Laboratories,CGM Video Ad- Senior,11,2021,facebook,marketplace,mobile_app,5,6,,0.46,,,0,,395,0,6
6,CGM_APTIVA,Abbott Laboratories,CGM Video Ad- Senior,11,2021,facebook,feed,mobile_web,20,21,,0.49,,,0,,134.89,0,6.25
8,CGM_APTIVA,Abbott Laboratories,CGM Video Ad- Senior,11,2021,facebook,facebook_stories,mobile_app,13,13,,0.35,,,0,,243.33,0,8
8,CGM_APTIVA,Abbott Laboratories,CGM Video Ad- Senior,11,2021,unknown,unknown,unknown,0,0,,0,,,0,,,,0
10,CGM_APTIVA,Abbott Laboratories,CGM Video Ad- Senior,11,2021,facebook,video_feeds,mobile_app,63,64,,2.28,0.07,2,3,1.41,228.26,57.14,10.08
14,CGM_APTIVA,Abbott Laboratories,CGM Video Ad- Senior,11,2021,facebook,feed,mobile_app,686,812,,48.11,12.98,4,12,14.69,1109.38,12.57,15.96
14,CGM_APTIVA,Abbott Laboratories,CGM Video Ad- Senior,11,2021,instagram,feed,mobile_app,60,60,,6.82,2.53,4,4,2.53,2418.75,164.29,14
14,CGM_APTIVA,Abbott Laboratories,CGM Video Ad- Senior,11,2021,facebook,feed,desktop,63,71,,6.6,4.23,7,10,3.27,1178.53,176.51,15.17
27,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,11,2021,instagram,instagram_explore,mobile_app,58,60,,2.51,0.01,1,1,0.01,1421.74,100,27.67
28,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,11,2021,facebook,instream_video,desktop,41,45,,2.11,0.16,1,1,0.16,1268.28,50,30.7
32,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,11,2021,audience_network,rewarded_video,desktop,65,80,,6.49,0.2,1,1,0.2,3128.45,25,40.93
36,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,11,2021,audience_network,an_classic,desktop,153,207,,11.92,0.5,2,2,0.5,1696.63,14.29,49.91
39,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,11,2021,instagram,instagram_stories,mobile_app,249,251,,22.92,4.8,6,6,4.8,4247.28,105.26,39.13
46,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,11,2021,instagram,feed,mobile_app,2695,2730,,266.24,137.82,52,54,132.73,4594.06,95.83,46.49
57,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,11,2021,facebook,instant_article,mobile_app,2032,2426,,102.71,41.86,37,67,36.72,2574.65,156.62,65.34
58,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,11,2021,facebook,marketplace,mobile_app,1714,1929,,146.13,64.21,24,27,65.76,4051.25,48.67,65.06
